"","Alpha_2","Name","Station","ICAO","IATA","SYNOP","LAT","LONG","ELEV"
"177",NA,"Bolivia","CD  STATION         ","ICAO  ","IATA  ","SYNOP ","  LAT   ","  LONG   ","ELEV  "
"178",NA,"Bolivia",NA,NA,NA,NA,NA,NA,NA
"179",NA,"Bolivia","FLORIDA            0","3-DEC-","13",NA,NA,NA,NA
"180",NA,"Bolivia","CD  STATION         ","ICAO  ","IATA  ","SYNOP ","  LAT   ","  LONG   ","ELEV  "
"181",NA,"Bolivia",NA,NA,NA,NA,NA,NA,NA
"182",NA,"Bolivia","GEORGIA            3","0-APR-","13",NA,NA,NA,NA
"183",NA,"Bolivia","CD  STATION         ","ICAO  ","IATA  ","SYNOP ","  LAT   ","  LONG   ","ELEV  "
"184",NA,"Bolivia",NA,NA,NA,NA,NA,NA,NA
"185",NA,"Bolivia","HAWAII             3","0-APR-","13",NA,NA,NA,NA
"186",NA,"Bolivia","CD  STATION         ","ICAO  ","IATA  ","SYNOP ","  LAT   ","  LONG   ","ELEV  "
"187",NA,"Bolivia",NA,NA,NA,NA,NA,NA,NA
"188",NA,"Bolivia","IOWA               0","2-FEB-","11",NA,NA,NA,NA
"189",NA,"Bolivia","CD  STATION         ","ICAO  ","IATA  ","SYNOP ","  LAT   ","  LONG   ","ELEV  "
"190",NA,"Bolivia",NA,NA,NA,NA,NA,NA,NA
"191",NA,"Bolivia","IDAHO              1","4-APR-","11",NA,NA,NA,NA
"192",NA,"Bolivia","CD  STATION         ","ICAO  ","IATA  ","SYNOP ","  LAT   ","  LONG   ","ELEV  "
"193",NA,"Bolivia",NA,NA,NA,NA,NA,NA,NA
"194",NA,"Bolivia","ILLINOIS           1","0-FEB-","12",NA,NA,NA,NA
"195",NA,"Bolivia","CD  STATION         ","ICAO  ","IATA  ","SYNOP ","  LAT   ","  LONG   ","ELEV  "
"196",NA,"Bolivia",NA,NA,NA,NA,NA,NA,NA
"197",NA,"Bolivia","INDIANA            2","2-OCT-","13",NA,NA,NA,NA
"198",NA,"Bolivia","CD  STATION         ","ICAO  ","IATA  ","SYNOP ","  LAT   ","  LONG   ","ELEV  "
"199",NA,"Bolivia",NA,NA,NA,NA,NA,NA,NA
"200",NA,"Bolivia","KANSAS             2","8-FEB-","12",NA,NA,NA,NA
"201",NA,"Bolivia","CD  STATION         ","ICAO  ","IATA  ","SYNOP ","  LAT   ","  LONG   ","ELEV  "
"202",NA,"Bolivia",NA,NA,NA,NA,NA,NA,NA
"203",NA,"Bolivia","KENTUCKY           0","3-DEC-","13",NA,NA,NA,NA
